SPRITES
123
SP_WALL_TOP Dot(-28.4237184688, 41.0833794661) 1.0000000000 -1
SP_WALL_BOTTOM Dot(83.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(99.5762815312, -118.9166205339) 1.0000000000 1
SP_WALL_TOP_LEFT_INSIDE Dot(99.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(99.5762815312, -102.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -199.9166205339) 1.0000000000 1
COLLISION_BOXES
10
Dot(-44.4237184688, 41.0833794661) Dot(-28.4237184688, -150.9166205339)
Dot(99.5762815312, -38.9166205339) Dot(115.5762815312, -150.9166205339)
Dot(-28.4237184688, -146.9166205339) Dot(99.5762815312, -150.9166205339)
Dot(147.5762815312, -6.9166205339) Dot(163.5762815312, -247.9166205339)
Dot(115.5762815312, -38.9166205339) Dot(131.5762815312, -198.9166205339)
Dot(3.5762815312, -150.9166205339) Dot(115.5762815312, -198.9166205339)
Dot(3.5762815312, -198.9166205339) Dot(19.5762815312, -246.9166205339)
Dot(19.5762815312, -242.9166205339) Dot(147.5762815312, -247.9166205339)
Dot(147.5762815312, 4.0833794661) Dot(163.5762815312, -6.9166205339)
Dot(-28.4237184688, 41.0833794661) Dot(163.5762815312, -6.9166205339)
INTERESTING_DOTS
7
Dot(31.5762815312, -70.9166205339) player
Dot(74.5762815312, -18.9166205339) enemy
Dot(-12.4237184688, -18.9166205339) enemy
Dot(81.5762815312, -123.9166205339) enemy
Dot(47.5762815312, -213.9166205339) enemy
Dot(119.5762815312, -214.9166205339) enemy
Dot(138.5762815312, -101.9166205339) enemy
